               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.041377,            0.041378,            0.018139,             0.56736,             0.41213,             0.44571,             0.22207,            0.043566,            0.031251,            0.018762,            0.006436,            0.006436,            0.006436
                  38,            0.041021,            0.040706,            0.017349,             0.55804,             0.41157,             0.44461,             0.21851,             0.04409,            0.031836,            0.019242,            0.006337,            0.006337,            0.006337
                  39,            0.040947,            0.040869,            0.017425,             0.57261,             0.39913,             0.45052,             0.22405,            0.043594,            0.031568,            0.019083,            0.006238,            0.006238,            0.006238
                  40,            0.040429,            0.040703,            0.017256,               0.564,             0.41249,             0.45495,             0.22368,            0.043376,            0.031156,            0.018783,            0.006139,            0.006139,            0.006139
                  41,            0.040339,            0.040551,            0.017429,             0.57733,             0.40268,               0.451,             0.22429,            0.043373,            0.031357,            0.018864,             0.00604,             0.00604,             0.00604
                  42,            0.040045,            0.040107,            0.016762,             0.55444,             0.40574,             0.44789,              0.2204,            0.043963,            0.031494,            0.019123,            0.005941,            0.005941,            0.005941
                  43,            0.040032,            0.039465,            0.017197,             0.58602,              0.4133,             0.45921,             0.22691,            0.043364,            0.030977,            0.018933,            0.005842,            0.005842,            0.005842
                  44,            0.039849,            0.039757,            0.016906,             0.61679,             0.41073,             0.47376,             0.23586,              0.0431,            0.031009,            0.018654,            0.005743,            0.005743,            0.005743
                  45,            0.039836,            0.039682,             0.01658,             0.58888,              0.4134,             0.46647,             0.23563,            0.042913,            0.030984,            0.018377,            0.005644,            0.005644,            0.005644
                  46,            0.039462,            0.039313,            0.016639,             0.58543,             0.42198,             0.47042,             0.23744,            0.043147,            0.030976,            0.018572,            0.005545,            0.005545,            0.005545
                  47,            0.039438,             0.03891,            0.016842,             0.59638,             0.42706,             0.47571,             0.24269,            0.043028,             0.03128,            0.018619,            0.005446,            0.005446,            0.005446
                  48,             0.03909,            0.038724,            0.016381,             0.59312,             0.42167,             0.46908,             0.24079,            0.042627,            0.030983,            0.018501,            0.005347,            0.005347,            0.005347
                  49,            0.039037,            0.038634,            0.016334,             0.61941,             0.42622,             0.48528,             0.24949,            0.042772,            0.031199,            0.018621,            0.005248,            0.005248,            0.005248
                  50,            0.038844,            0.038242,            0.016345,             0.60959,             0.41966,             0.47346,             0.24623,             0.04257,             0.03091,            0.018605,            0.005149,            0.005149,            0.005149
                  51,            0.038514,            0.037564,            0.016294,             0.61317,             0.42468,             0.48085,             0.24938,            0.042675,            0.031311,            0.018486,             0.00505,             0.00505,             0.00505
                  52,            0.038284,            0.037184,            0.015909,             0.63768,             0.42773,             0.49034,             0.25732,            0.042426,            0.031194,            0.018535,            0.004951,            0.004951,            0.004951
                  53,            0.038075,             0.03749,            0.015852,             0.62247,             0.41787,             0.48446,             0.25332,            0.042742,            0.031903,            0.018581,            0.004852,            0.004852,            0.004852
                  54,            0.037861,            0.037693,            0.016175,             0.64061,             0.42871,             0.49001,             0.25293,            0.042359,             0.03158,            0.018501,            0.004753,            0.004753,            0.004753
                  55,            0.037901,            0.036902,            0.016067,             0.62699,             0.43195,             0.48595,             0.25472,            0.042405,            0.031022,            0.018402,            0.004654,            0.004654,            0.004654
                  56,            0.037729,            0.036711,             0.01574,             0.61627,             0.43575,             0.48879,             0.25897,            0.042165,            0.031267,            0.018281,            0.004555,            0.004555,            0.004555
